ID,ASR#1 Time,ASR#2A Time,ASR#2B Time,ASR#2C Time,ASR#3 Time,ASR#4 Time,ASR#5 Time,ASR#6 Time,ASR#7A Time,ASR#7B Time,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Number of late ASR,Number of ASRs,Number of Test B,Number of optinal assignments,Mid-Term Survey Time,End-Term Survey Time,Information Survey Time
1,2,2,2,1,9,0,0,0,0,0,0,4,2,3,0,0,0,0,1,5,4,0,3,0,4
2,3,1,2,2,3,0,0,0,0,0,4,4,4,0,0,0,0,0,1,5,3,0,11,0,4
3,9,0,2,2,5,0,0,0,0,0,2,4,0,4,0,0,0,0,0,5,3,0,7,0,3
4,4,1,66,1,2,0,0,0,0,0,0,3,0,3,0,0,0,0,1,5,3,0,6,0,7
5,6,3,5,7,7,0,0,0,0,0,4,4,4,4,0,0,0,0,1,5,4,0,17,0,11
6,0,1,4,2,6,8,0,0,0,0,2,2,1,0,0,0,0,0,0,6,3,0,0,0,6
7,2,2,3,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,1,0,4,0,67
8,3,1,3,2,0,0,0,0,0,0,7,8,0,0,0,0,0,0,2,4,2,0,0,0,4
9,3,1,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,5,2,0,4,0,5
10,6,1,2,4,5,0,0,0,0,0,4,0,3,4,0,0,0,0,1,5,3,0,17,0,4
11,3,1,2,1,3,6,0,0,0,0,2,0,1,2,0,0,0,0,0,6,3,0,4,0,4
12,3,1,4,1,6,0,0,0,0,0,0,4,4,0,0,0,0,0,1,5,2,0,0,0,4
13,6,1,9,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,3
14,9,1,2,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,7,0,4
15,2,0,2,1,2,0,0,0,0,0,1,2,2,2,0,0,0,0,1,5,4,0,4,0,7
16,1,0,2,1,1,0,0,0,0,0,2,2,2,3,0,0,0,0,1,5,4,0,0,0,3
17,2,1,2,1,3,0,0,0,0,0,3,0,4,0,0,0,0,0,1,5,2,0,2,0,3
18,3,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,5
19,3,1,4,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,1,0,15,0,8
20,2,1,2,1,2,4,0,0,0,0,4,4,4,5,0,0,0,0,1,6,4,0,0,0,4
21,3,1,2,1,5,0,0,0,0,0,0,0,3,3,0,0,0,0,1,5,4,0,5,0,2
22,1,1,1,2,2,0,0,0,0,0,2,3,3,3,0,0,0,0,1,5,4,0,12,0,7
23,3,0,1,2,1,0,0,0,0,0,4,4,0,3,0,0,0,0,1,5,3,0,7,0,3
24,5,1,3,2,4,0,0,0,0,0,0,4,0,2,0,0,0,0,1,5,3,1,10,0,5
